Movie_ID,Title,Weighted_Rating,Director(s),Cast,Genres
1896,Daddy's Daughter,5.834570426321409,['Abhimanyu Chauhan'],"['Mithilesh Chaturvedi', 'Farheen Khan', 'Garima Rastogi']",['Drama']
1897,Dard Ka Rishta,5.8345612821433575,['Sunil Dutt'],"['Sunil Dutt', 'Reena Roy', 'Smita Patil']",['Drama']
1898,Gauraiya,5.8345612821433575,['Rajesh Hans'],"['Karamaveer Chaudhary', 'Karamveer Choudhary', 'Vijay Jora']",['Crime']
1899,Abhay,5.8345612821433575,['Annu Kapoor'],"['Ankit Desai', 'Benjamin Gilani', 'Eka Lakhani']",['Fantasy']
1900,Chandu,5.834559017181981,['P.A. Arun Prasad'],"['Sudeep', 'Sonia Agarwal', 'Srinath']",['Romance']
1901,Bluff Master,5.834543393423554,['Manmohan Desai'],"['Shammi Kapoor', 'Saira Banu', 'Niranjan Sharma']",['Romance']
1902,Dr. Kotnis Ki Amar Kahani,5.834484808427028,['Shantaram Rajaram Vankudre'],"['Shantaram Rajaram Vankudre', 'Jayashree', 'Keshavrao Date']","['Biography, Drama, War']"
1903,Aaina,5.834431415624574,['Deepak Sareen'],"['Jackie Shroff', 'Juhi Chawla', 'Amrita Singh']","['Drama, Romance']"
1904,Maya Darpan,5.834231380728579,['Kumar Shahani'],"['Aditi', 'Iqbalnath Kaul', 'Anil Pandya']",['Drama']
1905,Charitraheen,5.834193287972868,['Shakti Samanta'],"['Sharmila Tagore', 'Sanjeev Kumar', 'Yogeeta Bali']","['Drama, Family']"
1906,The Goa Run,5.834193287972868,['John Owen'],"['Rajeev Khandelwal', 'Prashant Narayanan', 'Lekha Washington']","['Action, Crime, Romance']"
1907,Brahmarshi Vishwamitra,5.834154173340117,['N.T. Rama Rao'],"['N.T. Rama Rao', 'Nandamuri Balakrishna', 'Bhanupriya']","['Drama, Musical']"
1908,Na Ghar Ke Na Ghaat Ke,5.8340238441931405,['Rahul Aggarwal'],"['Om Puri', 'Paresh Rawal', 'Neena Gupta']","['Comedy, Drama']"
1909,Ziddi,5.83398149849103,['Shaheed Latif'],"['Dev Anand', 'Kamini Kaushal', 'Chanda']",['Drama']
1910,Hariyali Aur Rasta,5.833903542708564,['Vijay Bhatt'],"['Manoj Kumar', 'Mala Sinha', 'Shashikala']","['Musical, Drama, Romance']"
1911,Sheesha,5.8338752826080125,['Basu Chatterjee'],"['Mithun Chakraborty', 'Moon Moon Sen', 'Vijayendra Ghatge']",['Drama']
1912,Parinati,5.8338752826080125,['Prakash Jha'],"['Basant Josalkar', 'Surekha Sikri', 'Sudhir Kulkarni']",['Drama']
1913,Sikandar E Azam,5.833847237947502,['Kedar Kapoor'],"['Prithviraj Kapoor', 'Dara Singh', 'Mumtaz']","['Adventure, Drama, History']"
1914,Dozakh in Search of Heaven,5.833842961875949,['Zaigham Imam'],"['Garrick Chaudhary', 'Roobie', 'Lalit Mohan Tiwari']",['Drama']
1915,The Angrez 2,5.833802594830479,['Kuntaa Nikkil'],"['Kuntaa Nikkil', 'Raghu Kumar Karumanchi', 'Izeqiel McCoy']","['Action, Comedy']"
1916,Baarish Aur Chowmein,5.8337928217352175,['Tigmanshu Dhulia'],"['Amit Sadh', 'Taapsee Pannu', 'Tariq Naved Siddiqui']",['Drama']
1917,Oonche Log,5.833762899746436,['Phani Majumdar'],"['Ashok Kumar', 'Raaj Kumar', 'Feroz Khan']","['Drama, Romance, Thriller']"
1918,Saraswatichandra,5.8337221749875425,['Govind Saraiya'],"['Nutan', 'Manish', 'Vijaya Choudhury']","['Drama, Romance']"
1919,Babloo Happy Hai,5.833717207199017,['Nila Madhab Panda'],"['Sahil Anand', 'Erica Fernandes', 'Parvin Dabas']","['Comedy, Drama, Romance']"
1920,Oass,5.833684639081141,['Abhinav Shiv Tiwari'],"['Priyanka Bose', 'Jameel Khan', 'Yashpal Sharma']",['Drama']
1921,Kota Junction,5.833639302827511,['Sachin P. Karande'],"['Munish Khan', 'Setareh Noori', 'Sarosh Khan']",['Drama']
1922,Cypher,5.833599124191683,['Sagar Pathak'],"['Kirti Adarkar', 'Aarya Adhav', 'Arun Bali']","['Biography, Family']"
1923,Phir Kabhi,5.833595451807321,['V.K. Prakash'],"['Mithun Chakraborty', 'Dimple Kapadia', 'Kaivalya Chheda']","['Drama, Romance']"
1924,Chhailla Babu,5.833595451807321,['Joy Mukherjee'],"['Rajesh Khanna', 'Zeenat Aman', 'Asrani']","['Action, Crime, Romance']"
1925,A Gift of Love: Sifar,5.833588428431004,['Dhruv Sachdev'],"['Sanjay Deyali', 'Sudha Chandran', 'Anang Desai']","['Drama, Romance']"
1926,Road to Ladakh,5.833561397603891,['Ashvin Kumar'],"['Deepak', 'Rimpoche Dorje', 'Thuptan Gelek']",['Drama']
1927,Dance Dance,5.8334841667849116,['Babbar Subhash'],"['Mithun Chakraborty', 'Smita Patil', 'Mandakini']","['Action, Drama, Musical']"
1928,Muzaffarnagar Baaqi Hai,5.83345187509304,['Nakul Singh Sawhney'],"['Shubhradeep Chakravorty', 'Meera Chaudhary', 'Nakul Singh Sawhney']",['Documentary']
1929,Akbar Saleem Anarkali,5.8334120981686075,['N.T. Rama Rao'],"['N.T. Rama Rao', 'Nandamuri Balakrishna', 'Unni Mary']","['Drama, History, Musical']"
1930,Yaad Rakhegi Duniya,5.8333293888507605,['Deepak Anand'],"['Aditya Pancholi', 'Rukhsar Rehman', 'Tinnu Anand']","['Drama, Romance']"
1931,Bhoot Bungla,5.8333293888507605,['Mehmood'],"['Mehmood', 'Tanuja', 'Nasir Hussain']","['Comedy, Horror, Mystery']"
1932,Jhoota Kahin Ka,5.833298635397668,['Ravi Tandon'],"['Rishi Kapoor', 'Neetu Singh', 'Indrani Mukherjee']","['Comedy, Drama, Romance']"
1933,Ram Ki Janmabhoomi,5.833288658276975,['Sanoj Mishra'],"['Sanoj R. Mishra', 'Muntazir Ahmad', 'Manveer Choudhary']",['Drama']
1934,Amar Deep,5.83324726122419,['R. Krishnamurthy'],"['K. Vijayan', 'Rajesh Khanna', 'Vinod Mehra']","['Drama, Romance']"
1935,Shola Aur Shabnam,5.833246781698991,['Ramesh Saigal'],"['Dhumal', 'Jeevan Kala', 'Ruby Mayer']","['Drama, Family']"
